3720	1.03E-02
3719	1.01E-02
3718	9.86E-03
3717	9.64E-03
3716	9.42E-03
3715	9.23E-03
3714	9.22E-03
3713	9.24E-03
3712	9.26E-03
3711	9.28E-03
3710	9.33E-03
3709	9.58E-03
3708	9.86E-03
3707	1.01E-02
3706	1.04E-02
3705	1.07E-02
3704	1.07E-02
3703	1.07E-02
3702	1.08E-02
3701	1.08E-02
3700	1.08E-02
3699	1.07E-02
3698	1.05E-02
3697	1.04E-02
3696	1.02E-02
3695	1.01E-02
3694	1.00E-02
3693	9.94E-03
3692	9.86E-03
3691	9.78E-03
3690	9.70E-03
3689	9.64E-03
3688	9.58E-03
3687	9.52E-03
3686	9.46E-03
3685	9.38E-03
3684	9.18E-03
3683	8.96E-03
3682	8.74E-03
3681	8.52E-03
3680	8.24E-03
3679	7.60E-03
3678	6.90E-03
3677	6.20E-03
3676	5.50E-03
3675	4.97E-03
3674	5.42E-03
3673	6.04E-03
3672	6.66E-03
3671	7.28E-03
3670	7.88E-03
3669	8.36E-03
3668	8.82E-03
3667	9.28E-03
3666	9.74E-03
3665	1.02E-02
3664	1.03E-02
3663	1.05E-02
3662	1.06E-02
3661	1.08E-02
3660	1.09E-02
3659	1.09E-02
3658	1.09E-02
3657	1.09E-02
3656	1.09E-02
3655	1.09E-02
3654	1.07E-02
3653	1.06E-02
3652	1.04E-02
3651	1.03E-02
3650	1.01E-02
3649	1.02E-02
3648	1.03E-02
3647	1.04E-02
3646	1.05E-02
3645	1.06E-02
3644	1.08E-02
3643	1.09E-02
3642	1.11E-02
3641	1.12E-02
3640	1.14E-02
3639	1.12E-02
3638	1.10E-02
3637	1.07E-02
3636	1.05E-02
3635	1.03E-02
3634	1.02E-02
3633	1.01E-02
3632	1.01E-02
3631	9.98E-03
3630	9.92E-03
3629	9.96E-03
3628	1.00E-02
3627	1.01E-02
3626	1.01E-02
3625	1.02E-02
3624	1.05E-02
3623	1.08E-02
3622	1.10E-02
3621	1.13E-02
3620	1.15E-02
3619	1.12E-02
3618	1.07E-02
3617	1.03E-02
3616	9.84E-03
3615	9.46E-03
3614	9.42E-03
3613	9.44E-03
3612	9.46E-03
3611	9.48E-03
3610	9.52E-03
3609	9.66E-03
3608	9.82E-03
3607	9.98E-03
3606	1.01E-02
3605	1.03E-02
3604	1.03E-02
3603	1.03E-02
3602	1.02E-02
3601	1.02E-02
3600	1.02E-02
3599	1.01E-02
3598	9.96E-03
3597	9.84E-03
3596	9.72E-03
3595	9.61E-03
3594	9.56E-03
3593	9.52E-03
3592	9.48E-03
3591	9.44E-03
3590	9.40E-03
3589	9.34E-03
3588	9.28E-03
3587	9.22E-03
3586	9.16E-03
3585	9.14E-03
3584	9.32E-03
3583	9.54E-03
3582	9.76E-03
3581	9.98E-03
3580	1.01E-02
3579	9.88E-03
3578	9.56E-03
3577	9.24E-03
3576	8.92E-03
3575	8.63E-03
3574	8.54E-03
3573	8.48E-03
3572	8.42E-03
3571	8.36E-03
3570	8.37E-03
3569	8.80E-03
3568	9.30E-03
3567	9.80E-03
3566	1.03E-02
3565	1.07E-02
3564	1.08E-02
3563	1.08E-02
3562	1.08E-02
3561	1.08E-02
3560	1.08E-02
3559	1.04E-02
3558	1.01E-02
3557	9.72E-03
3556	9.36E-03
3555	9.08E-03
3554	9.30E-03
3553	9.60E-03
3552	9.90E-03
3551	1.02E-02
3550	1.04E-02
3549	1.03E-02
3548	1.01E-02
3547	9.90E-03
3546	9.70E-03
3545	9.51E-03
3544	9.40E-03
3543	9.30E-03
3542	9.20E-03
3541	9.10E-03
3540	9.02E-03
3539	9.08E-03
3538	9.16E-03
3537	9.24E-03
3536	9.32E-03
3535	9.43E-03
3534	9.74E-03
3533	1.01E-02
3532	1.04E-02
3531	1.08E-02
3530	1.11E-02
3529	1.12E-02
3528	1.12E-02
3527	1.13E-02
3526	1.13E-02
3525	1.14E-02
3524	1.15E-02
3523	1.17E-02
3522	1.18E-02
3521	1.20E-02
3520	1.21E-02
3519	1.20E-02
